question,category,is_essay,option_1,option_2,option_3,correct_answer,passage
"11. Identify the error: ""Every one of the applicants are required to submit a writing sample.""",Part 1. Verbal Ability & Structural Literacy,FALSE,of the applicants,Every one,writing sample,Option D,
"12. Complete the sentence: ""The CEO's actions were ______ with the company's ethical guidelines.""",Part 1. Verbal Ability & Structural Literacy,FALSE,consistent,consistence,consisting,Option A,
13. Which sentence is free of redundancy?,Part 1. Verbal Ability & Structural Literacy,FALSE,The lawyer repeated the statement again for emphasis.,The attorney summarized the key points of the case.,The two brothers are both lawyers.,Option B,
"14. Choose the correct preposition: ""The defendant was found guilty ______ all charges.""",Part 1. Verbal Ability & Structural Literacy,FALSE,of,for,at,Option A,
"15. Identify the error: ""The reason the trial was delayed was because the lead prosecutor fell ill.""",Part 1. Verbal Ability & Structural Literacy,FALSE,delayed,fell ill,The reason,Option D,
16. Select the correctly punctuated sentence.,Part 1. Verbal Ability & Structural Literacy,FALSE,Its' a well-known fact that the law is constantly evolving.,Its a well-known fact that the law is constantly evolving.,"It's a well-known fact, that the law is constantly evolving.",Option D,
17. Which sentence uses the word 'whose' correctly?,Part 1. Verbal Ability & Structural Literacy,FALSE,The firm is looking for an attorney whose experienced in tax law.,Whose to say who is right in this situation?,"The lawyer, whose briefcase was stolen, had to postpone the meeting.",Option C,
"18. Identify the error: ""The collection of rare books were donated to the university library.""",Part 1. Verbal Ability & Structural Literacy,FALSE,collection of,to the university,rare books,Option D,
"19. Select the correct plural form: ""The court reviewed several ______ to determine the standard of care.""",Part 1. Verbal Ability & Structural Literacy,FALSE,memorandas,memorandums,memoranda,Option C,
"20. Identify the error: ""Having finished the report, the computer was turned off by the intern.""",Part 1. Verbal Ability & Structural Literacy,FALSE,Having finished,by the intern,the report,Option A,
21. Which sentence uses the word 'than' correctly?,Part 1. Verbal Ability & Structural Literacy,FALSE,"If the defendant is guilty, then he must be punished.",I would rather study law then medicine.,The trial lasted longer then we expected.,Option D,
"22. Identify the error: ""The group of lawyers are meeting in the conference room.""",Part 1. Verbal Ability & Structural Literacy,FALSE,in the conference room,The group,of lawyers,Option D,
23. Select the correct sentence regarding pronoun usage.,Part 1. Verbal Ability & Structural Literacy,FALSE,Give the files to whoever is at the front desk.,The award will be given to who the committee chooses.,Whom is the lead attorney for the defense?,Option A,
"24. Which word correctly completes the phrase: ""The law was passed ______ to the public's demands.""",Part 1. Verbal Ability & Structural Literacy,FALSE,prevailing,pursuant,pertaining,Option B,
25. Identify the correctly spelled word.,Part 1. Verbal Ability & Structural Literacy,FALSE,Judgement,Judgemental,Jugement,Option D,
26. Which of the following is a comma splice?,Part 1. Verbal Ability & Structural Literacy,FALSE,The trial ended; the jury went home.,"The trial ended, and the jury went home.","The trial ended, the jury went home.",Option C,
"27. Identify the error: ""Neither of the options seem viable in the long run.""",Part 1. Verbal Ability & Structural Literacy,FALSE,Viable,of the options,Neither,Option D,
"28. Identify the error: ""The attorney, along with his assistants, are preparing for the trial.""",Part 1. Verbal Ability & Structural Literacy,FALSE,The attorney,along with,for the trial,Option D,
29. Which sentence uses 'who' correctly?,Part 1. Verbal Ability & Structural Literacy,FALSE,The person who is responsible for this error must be found.,To who should I address this letter?,Who are you waiting for?,Option A,
"30. Identify the error: ""He is one of those lawyers who is always ready for a challenge.""",Part 1. Verbal Ability & Structural Literacy,FALSE,is always,lawyers,for a challenge,Option A,
31. Which sentence uses the word 'lie' correctly?,Part 1. Verbal Ability & Structural Literacy,FALSE,The files lie on the desk in the office.,She has lain the evidence before the court.,I think I will go lay down for a while.,Option A,
"32. Identify the error in the following sentence: ""Walking into the courtroom, the judge's gavel banged loudly to restore absolute silence.""",Part 1. Verbal Ability & Structural Literacy,FALSE,Walking into the courtroom,the judge's gavel,banged loudly,Option A,
"33. Choose the option that corrects the pronoun-antecedent agreement error: ""Each of the defense witnesses must bring their own copy of the signed affidavit.""",Part 1. Verbal Ability & Structural Literacy,FALSE,must bring his or her own copy,must bring there own copy,are required to bring their own copy,Option A,
"34. Complete the sentence using the appropriate subjunctive mood: ""The prosecutor demanded that the suspect ______ a full statement immediately.""",Part 1. Verbal Ability & Structural Literacy,FALSE,gives,give,given,Option B,
"35. Identify the word choice error in this sentence: ""The judge's decision was discrete, protecting the privacy of the minor involved in the litigation.""",Part 1. Verbal Ability & Structural Literacy,FALSE,minor,privacy,discrete,Option C,
36. Which of the following options represents a grammatically complete sentence rather than a fragment or run-on?,Part 1. Verbal Ability & Structural Literacy,FALSE,Although the firm hired three new paralegals last week.,"The court adjourned early, the lawyers went back to their offices.","The brief was exhaustive, yet it failed to address the core jurisdictional issue.",Option C,
"37. Identify the error: ""The physical evidence had laid on the shelf for months before the forensics team discovered it.""",Part 1. Verbal Ability & Structural Literacy,FALSE,had laid,for months,before,Option A,
38. Choose the grammatically flawless sentence regarding relative pronouns.,Part 1. Verbal Ability & Structural Literacy,FALSE,The clerk did not know to whomever the document should be delivered.,The clerk did not know to who the document should be delivered.,The clerk did not know to whom the document should be delivered.,Option C,
"39. Identify the subject-verb agreement error: ""A comprehensive team of legal experts and consultants are reviewing the contract terms tonight.""",Part 1. Verbal Ability & Structural Literacy,FALSE,comprehensive,are reviewing,terms,Option B,
40. Choose the sentence that avoids a misplaced modifier.,Part 1. Verbal Ability & Structural Literacy,FALSE,The lawyer only argued three motions during the entire trial.,The lawyer argued only three motions during the entire trial.,Only the lawyer argued three motions during the entire trial.,Option B,
"41. Identify the incorrect prepositional idiom: ""The local ordinance was enacted in compliance to federal safety guidelines.""",Part 1. Verbal Ability & Structural Literacy,FALSE,was enacted,in compliance to,safety,Option B,
"42. Choose the correct word for the sentence: ""The judge was ______ to continuing the trial without the defense counsel present.""",Part 1. Verbal Ability & Structural Literacy,FALSE,adverse,inverse,averse,Option C,
43. Select the sentence with the correct use of quotation punctuation.,Part 1. Verbal Ability & Structural Literacy,FALSE,"""The witness is unreliable"", argued the defense attorney.","""The witness is unreliable,"" argued the defense attorney.","""The witness is unreliable"" argued the defense attorney.",Option B,
"44. Identify the phrase that breaks the parallel structure: ""To think critically, to write clearly, and arguing persuasively are essential legal skills.""",Part 1. Verbal Ability & Structural Literacy,FALSE,To think critically,to write clearly,arguing persuasively,Option C,
"45. Identify the error: ""Neither the principal partner nor the senior agents has signed the settlement agreement.""",Part 1. Verbal Ability & Structural Literacy,FALSE,Neither,nor,has signed,Option C,
"46. Choose the correct word: ""The legal consultant warned that a sweeping regulatory change was ______.""",Part 1. Verbal Ability & Structural Literacy,FALSE,eminent,imminent,immanent,Option B,
"47. Identify the error: ""The judge strongly objected to him disrupting the court proceedings during cross-examination.""",Part 1. Verbal Ability & Structural Literacy,FALSE,strongly objected,to him,disrupting,Option B,
"48. Identify the grammatical error: ""The witness claimed she didn't see nothing unusual on the night of the incident.""",Part 1. Verbal Ability & Structural Literacy,FALSE,claimed,didn't see nothing,unusual,Option B,
49. Select the option with the correct possessive form.,Part 1. Verbal Ability & Structural Literacy,FALSE,The two companies' mergers were blocked by the antitrust commission.,The two company's mergers were blocked by the antitrust commission.,The two companies merger's were blocked by the antitrust commission.,Option A,
"50. Identify the tense consistency error: ""The brief explains the defense's position clearly and presented several compelling precedents.""",Part 1. Verbal Ability & Structural Literacy,FALSE,explains,clearly,presented,Option C,
